parcel_id,municipality,land_area_m2,zoning_or_land_use,assessment_class,has_residential_use,source_ref,quality_tier,notes
lotcon-22,municipality-1,1300907.74,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 35; concession=COLPOY RANGE; legal=LOT 35, CON COLPOY RANGE; linkage=none"
lotcon-23,municipality-1,1288717.50,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 22; concession=COLPOY RANGE; legal=LOT 22, CON COLPOY RANGE; linkage=none"
lotcon-24,municipality-1,1694479.04,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 43; concession=COLPOY RANGE; legal=LOT 43, CON COLPOY RANGE; linkage=none"
lotcon-25,municipality-1,1625931.87,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 44; concession=COLPOY RANGE; legal=LOT 44, CON COLPOY RANGE; linkage=none"
lotcon-26,municipality-1,1580846.75,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 42; concession=COLPOY RANGE; legal=LOT 42, CON COLPOY RANGE; linkage=none"
lotcon-27,municipality-1,1224177.41,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 45; concession=COLPOY RANGE; legal=LOT 45, CON COLPOY RANGE; linkage=none"
lotcon-28,municipality-1,1574109.76,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 36; concession=COLPOY RANGE; legal=LOT 36, CON COLPOY RANGE; linkage=none"
lotcon-29,municipality-1,1321793.78,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 21; concession=COLPOY RANGE; legal=LOT 21, CON COLPOY RANGE; linkage=none"
lotcon-30,municipality-1,2397549.38,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT A; concession=COLPOY RANGE; legal=LOT A, CON COLPOY RANGE; linkage=none"
lotcon-31,municipality-1,1310266.52,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 41; concession=COLPOY RANGE; legal=LOT 41, CON COLPOY RANGE; linkage=none"
lotcon-32,municipality-1,1332944.84,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 37; concession=COLPOY RANGE; legal=LOT 37, CON COLPOY RANGE; linkage=none"
lotcon-33,municipality-1,1578267.71,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 20; concession=COLPOY RANGE; legal=LOT 20, CON COLPOY RANGE; linkage=none"
lotcon-34,municipality-1,1186762.36,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 38; concession=COLPOY RANGE; legal=LOT 38, CON COLPOY RANGE; linkage=none"
lotcon-35,municipality-1,1325031.59,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 40; concession=COLPOY RANGE; legal=LOT 40, CON COLPOY RANGE; linkage=none"
lotcon-36,municipality-1,1468246.39,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 19; concession=COLPOY RANGE; legal=LOT 19, CON COLPOY RANGE; linkage=none"
lotcon-37,municipality-1,1215630.68,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 39; concession=COLPOY RANGE; legal=LOT 39, CON COLPOY RANGE; linkage=none"
lotcon-38,municipality-1,1237479.92,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 31; concession=26; legal=LOT 31, CON 26; linkage=none"
lotcon-39,municipality-1,1341320.29,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 30; concession=26; legal=LOT 30, CON 26; linkage=none"
lotcon-40,municipality-1,1201206.71,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 29; concession=26; legal=LOT 29, CON 26; linkage=none"
lotcon-41,municipality-1,1309484.76,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 18; concession=COLPOY RANGE; legal=LOT 18, CON COLPOY RANGE; linkage=none"
lotcon-42,municipality-1,1157086.73,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 28; concession=26; legal=LOT 28, CON 26; linkage=none"
lotcon-43,municipality-1,1032508.59,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 32; concession=26; legal=LOT 32, CON 26; linkage=none"
lotcon-44,municipality-1,1099973.18,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 27; concession=26; legal=LOT 27, CON 26; linkage=none"
lotcon-45,municipality-1,1248164.34,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 26; concession=26; legal=LOT 26, CON 26; linkage=none"
lotcon-46,municipality-1,834079.75,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 33; concession=26; legal=LOT 33, CON 26; linkage=none"
lotcon-47,municipality-1,1075635.31,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 17; concession=COLPOY RANGE; legal=LOT 17, CON COLPOY RANGE; linkage=none"
lotcon-48,municipality-1,970674.08,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 25; concession=26; legal=LOT 25, CON 26; linkage=none"
lotcon-49,municipality-1,669243.58,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 34; concession=26; legal=LOT 34, CON 26; linkage=none"
lotcon-50,municipality-1,815743.98,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 24; concession=26; legal=LOT 24, CON 26; linkage=none"
lotcon-51,municipality-1,900019.15,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 16; concession=COLPOY RANGE; legal=LOT 16, CON COLPOY RANGE; linkage=none"
lotcon-52,municipality-1,704957.51,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 23; concession=26; legal=LOT 23, CON 26; linkage=none"
lotcon-53,municipality-1,499428.97,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 35; concession=26; legal=LOT 35, CON 26; linkage=none"
lotcon-54,municipality-1,784417.46,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 15; concession=COLPOY RANGE; legal=LOT 15, CON COLPOY RANGE; linkage=none"
lotcon-55,municipality-1,579933.43,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 22; concession=26; legal=LOT 22, CON 26; linkage=none"
lotcon-56,municipality-1,640608.39,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 14; concession=COLPOY RANGE; legal=LOT 14, CON COLPOY RANGE; linkage=none"
lotcon-57,municipality-1,499455.88,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 21; concession=26; legal=LOT 21, CON 26; linkage=none"
lotcon-58,municipality-1,509094.45,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 13; concession=COLPOY RANGE; legal=LOT 13, CON COLPOY RANGE; linkage=none"
lotcon-59,municipality-1,946490.08,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 1; concession=GEORGIAN RANGE; legal=LOT 1, CON GEORGIAN RANGE; linkage=none"
lotcon-60,municipality-1,708135.52,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 45; concession=25; legal=LOT 45, CON 25; linkage=none"
lotcon-61,municipality-1,843780.60,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 44; concession=25; legal=LOT 44, CON 25; linkage=none"
lotcon-62,municipality-1,810155.04,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 43; concession=25; legal=LOT 43, CON 25; linkage=none"
lotcon-63,municipality-1,835898.22,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 42; concession=25; legal=LOT 42, CON 25; linkage=none"
lotcon-64,municipality-1,863555.94,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 41; concession=25; legal=LOT 41, CON 25; linkage=none"
lotcon-65,municipality-1,935650.93,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 40; concession=25; legal=LOT 40, CON 25; linkage=none"
lotcon-66,municipality-1,229780.68,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 12; concession=COLPOY RANGE; legal=LOT 12, CON COLPOY RANGE; linkage=none"
lotcon-67,municipality-1,837634.62,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 39; concession=25; legal=LOT 39, CON 25; linkage=none"
lotcon-68,municipality-1,828753.88,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 38; concession=25; legal=LOT 38, CON 25; linkage=none"
lotcon-69,municipality-1,836577.41,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 37; concession=25; legal=LOT 37, CON 25; linkage=none"
lotcon-70,municipality-1,855083.56,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 36; concession=25; legal=LOT 36, CON 25; linkage=none"
lotcon-71,municipality-1,846821.32,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 35; concession=25; legal=LOT 35, CON 25; linkage=none"
lotcon-72,municipality-1,834490.67,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 34; concession=25; legal=LOT 34, CON 25; linkage=none"
lotcon-73,municipality-1,833831.80,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 33; concession=25; legal=LOT 33, CON 25; linkage=none"
lotcon-74,municipality-1,836173.86,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 32; concession=25; legal=LOT 32, CON 25; linkage=none"
lotcon-75,municipality-1,855718.44,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 31; concession=25; legal=LOT 31, CON 25; linkage=none"
lotcon-76,municipality-1,898393.79,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 30; concession=25; legal=LOT 30, CON 25; linkage=none"
lotcon-77,municipality-1,830216.05,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 29; concession=25; legal=LOT 29, CON 25; linkage=none"
lotcon-78,municipality-1,836355.37,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 28; concession=25; legal=LOT 28, CON 25; linkage=none"
lotcon-79,municipality-1,831768.98,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 27; concession=25; legal=LOT 27, CON 25; linkage=none"
lotcon-80,municipality-1,1013695.15,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 26; concession=25; legal=LOT 26, CON 25; linkage=none"
lotcon-81,municipality-1,855419.96,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 25; concession=25; legal=LOT 25, CON 25; linkage=none"
lotcon-82,municipality-1,825654.66,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 24; concession=25; legal=LOT 24, CON 25; linkage=none"
lotcon-83,municipality-1,1032061.66,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 2; concession=GEORGIAN RANGE; legal=LOT 2, CON GEORGIAN RANGE; linkage=none"
lotcon-84,municipality-1,844414.56,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 23; concession=25; legal=LOT 23, CON 25; linkage=none"
lotcon-85,municipality-1,829239.63,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 22; concession=25; legal=LOT 22, CON 25; linkage=none"
lotcon-86,municipality-1,395086.97,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 11; concession=JONES RANGE; legal=LOT 11, CON JONES RANGE; linkage=none"
lotcon-87,municipality-1,880791.72,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 21; concession=25; legal=LOT 21, CON 25; linkage=none"
lotcon-88,municipality-1,847635.33,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 20; concession=25; legal=LOT 20, CON 25; linkage=none"
lotcon-89,municipality-1,851965.78,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 19; concession=25; legal=LOT 19, CON 25; linkage=none"
lotcon-90,municipality-1,856539.76,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 18; concession=25; legal=LOT 18, CON 25; linkage=none"
lotcon-91,municipality-1,812021.28,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 17; concession=25; legal=LOT 17, CON 25; linkage=none"
lotcon-92,municipality-1,817850.02,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 16; concession=25; legal=LOT 16, CON 25; linkage=none"
lotcon-93,municipality-1,855770.39,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 15; concession=25; legal=LOT 15, CON 25; linkage=none"
lotcon-94,municipality-1,829574.63,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 14; concession=25; legal=LOT 14, CON 25; linkage=none"
lotcon-95,municipality-1,829416.35,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 13; concession=25; legal=LOT 13, CON 25; linkage=none"
lotcon-96,municipality-1,651445.94,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 12; concession=25; legal=LOT 12, CON 25; linkage=none"
lotcon-97,municipality-1,1123523.22,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 3; concession=GEORGIAN RANGE; legal=LOT 3, CON GEORGIAN RANGE; linkage=none"
lotcon-98,municipality-1,801775.27,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 45; concession=24; legal=LOT 45, CON 24; linkage=none"
lotcon-99,municipality-1,850353.87,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 44; concession=24; legal=LOT 44, CON 24; linkage=none"
lotcon-100,municipality-1,804229.37,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 43; concession=24; legal=LOT 43, CON 24; linkage=none"
lotcon-101,municipality-1,643030.82,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 10; concession=JONES RANGE; legal=LOT 10, CON JONES RANGE; linkage=none"
lotcon-102,municipality-1,811006.10,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 42; concession=24; legal=LOT 42, CON 24; linkage=none"
lotcon-103,municipality-1,874376.36,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 41; concession=24; legal=LOT 41, CON 24; linkage=none"
lotcon-104,municipality-1,908668.21,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 40; concession=24; legal=LOT 40, CON 24; linkage=none"
lotcon-105,municipality-1,854333.83,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 39; concession=24; legal=LOT 39, CON 24; linkage=none"
lotcon-106,municipality-1,811040.68,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 38; concession=24; legal=LOT 38, CON 24; linkage=none"
lotcon-107,municipality-1,834086.25,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 37; concession=24; legal=LOT 37, CON 24; linkage=none"
lotcon-108,municipality-1,1201777.48,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 4; concession=GEORGIAN RANGE; legal=LOT 4, CON GEORGIAN RANGE; linkage=none"
lotcon-109,municipality-1,852757.07,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 36; concession=24; legal=LOT 36, CON 24; linkage=none"
lotcon-110,municipality-1,850395.96,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 35; concession=24; legal=LOT 35, CON 24; linkage=none"
lotcon-111,municipality-1,829459.51,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 34; concession=24; legal=LOT 34, CON 24; linkage=none"
lotcon-112,municipality-1,840331.96,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 33; concession=24; legal=LOT 33, CON 24; linkage=none"
lotcon-113,municipality-1,830806.91,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 32; concession=24; legal=LOT 32, CON 24; linkage=none"
lotcon-114,municipality-1,845592.22,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 31; concession=24; legal=LOT 31, CON 24; linkage=none"
lotcon-115,municipality-1,875410.24,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 30; concession=24; legal=LOT 30, CON 24; linkage=none"
lotcon-116,municipality-1,831414.69,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 29; concession=24; legal=LOT 29, CON 24; linkage=none"
lotcon-117,municipality-1,990358.64,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 9; concession=JONES RANGE; legal=LOT 9, CON JONES RANGE; linkage=none"
lotcon-118,municipality-1,823596.33,unknown_lot_fabric_proxy,unknown,unknown,grey_gis_lots_and_concessions_grey,direct_local,"lot_fabric_proxy; lot=LOT 28; concession=24; legal=LOT 28, CON 24; linkage=none"
